E
1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2	0.005	0.000	0.027	0.005	0.000	0.002	0.000	0.000	0.002	0.002	0.000	0.000	0.051	0.000	0.001	0.001
3	0.020	0.138	0.030	0.034	0.052	0.011	0.135	0.016	0.059	0.016	0.000	0.018	0.043	0.033	0.006	0.047
4	0.001	0.000	0.012	0.002	0.032	0.000	0.001	0.005	0.011	0.000	0.047	0.006	0.000	0.011	0.009	0.006
5	0.381	0.333	0.129	0.000	0.270	0.134	0.047	0.197	0.191	0.030	0.221	0.356	0.218	0.346	0.115	0.127
6	0.000	0.003	0.007	0.000	0.036	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.003	0.007	0.000
A
1	0.032	0.004	0.015	0.171	0.003	0.020	0.011	0.000	0.002	0.013	0.014	0.012	0.006	0.008	0.013	0.015
2	0.404	0.076	0.485	0.120	0.044	0.066	0.042	0.007	0.026	0.015	0.408	0.108	0.103	0.112	0.088	0.065
3	0.005	0.242	0.000	0.000	0.001	0.000	0.130	0.000	0.001	0.000	0.142	0.003	0.000	0.003	0.003	0.000
4	0.002	0.002	0.000	0.000	0.002	0.014	0.000	0.000	0.030	0.001	0.019	0.000	0.001	0.014	0.005	0.003
5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
D
1	0.024	0.001	0.002	0.004	0.005	0.009	0.004	0.000	0.032	0.009	0.002	0.001	0.442	0.008	0.086	0.002
2	0.168	0.150	0.204	0.385	0.494	0.329	0.260	0.249	0.139	0.260	0.277	0.354	0.297	0.174	0.249	0.402
3	0.296	0.174	0.426	0.260	0.405	0.364	0.476	0.445	0.153	0.393	0.454	0.417	0.290	0.402	0.247	0.397
4	0.099	0.459	0.461	0.462	0.388	0.490	0.380	0.340	0.223	0.382	0.313	0.499	0.315	0.481	0.414	0.430
5	0.318	0.091	0.074	0.057	0.314	0.070	0.186	0.240	0.158	0.168	0.096	0.488	0.159	0.065	0.164	0.409
6	0.431	0.089	0.372	0.399	0.140	0.132	0.324	0.350	0.202	0.273	0.219	0.286	0.356	0.377	0.213	0.285
